house,origin,group,founder,founded,community,wwi_fate,confidence,source
J. Henry Schröder & Co,German (Hamburg),Émigré: German & Central European,Johann Heinrich Schröder,1818.0,German / Hanseatic Protestant,Senior partner Baron Bruno Schröder naturalised within days of war (Aug 1914); firm survived as Schroders,high,"encyclopedia.com (Schroders plc); Roberts, Schroders"
Frederick Huth & Co,German (Stade/Hanover),Émigré: German & Central European,Johann Friedrich (Frederick) Huth,1809.0,German merchant diaspora,Survived WWI but long declined; wound up 1936,high,"Chapman, Rise of Merchant Banking"
"Kleinwort, Sons & Co",German (Holstein),Émigré: German & Central European,Alexander Friedrich Kleinwort,1855.0,German (Schleswig-Holstein),"Partners naturalised; survived, later Kleinwort Benson",high,"Cassis; Wake, Kleinwort Benson"
C. J. Hambro & Son,Danish (Copenhagen),Émigré: German & Central European,Carl Joachim Hambro,1839.0,Danish (neutral in WWI) / Sephardi descent,Denmark neutral — escaped enemy-alien treatment; survived as Hambros Bank,high,"Bramsen & Wain, The Hambros"
N. M. Rothschild & Sons,German-Jewish (Frankfurt),Émigré: German & Central European,Nathan Mayer Rothschild,1811.0,German-Jewish (Frankfurt Judengasse),Long-naturalised British branch; unaffected as enemy alien,high,"Ferguson, The World's Banker"
Bischoffsheim & Goldschmidt,German-Jewish (Mainz/Amsterdam),Émigré: German & Central European,Louis-Raphaël Bischoffsheim,1846.0,German/Dutch-Jewish; later merged into Banque de Paris,Largely absorbed/wound down before WWI,medium,Cassis
Frühling & Goschen,German (Leipzig),Émigré: German & Central European,Heinrich Frühling & W. H. Göschen,1814.0,German Saxon merchant,German-named firm wound down amid anti-German pressure; merged into Goschen & Cunliffe 1920,high,Wikipedia (Harry Goschen); Kynaston
Stern Brothers,German-Jewish (Frankfurt),Émigré: German & Central European,Stern family,1833.0,German-Jewish (Frankfurt),Survived,medium,Cassis
S. Oppenheim & Sons,German-Jewish (Cologne),Émigré: German & Central European,Salomon Oppenheim,1789.0,German-Jewish (Rhineland),Cologne house; London ties strained by war,medium,Cassis
William Brandt's Sons & Co,German (Hamburg/Archangel),Émigré: German & Central European,Edmund Heinrich Brandt,1805.0,German-Russian (Archangel trade),Russia-trade house; strained by war and 1917; survived diminished,medium,Chapman
E. Sieveking & Son,German (Hamburg),Émigré: German & Central European,Sieveking family,,German Hanseatic,—,low,Cassis
"Schunck, Souchay & Co",German,Émigré: German & Central European,Souchay family,,German (Saxon/Huguenot),—,low,Chapman
Bieber & Co,German,Émigré: German & Central European,,,German merchant,—,low,ledger
Lütgens & Ripley,German (Hamburg),Émigré: German & Central European,,,German Hanseatic,—,low,ledger
Haarbleicher & Schumann,German (Hamburg),Émigré: German & Central European,,,German Hanseatic,—,low,ledger
König Brothers,German,Émigré: German & Central European,,,German merchant,—,low,ledger
Suse & Sibeth,German (Hamburg),Émigré: German & Central European,,,German Hanseatic,—,low,ledger
"R. Heine, Semon & Co",German-Jewish,Émigré: German & Central European,,,German-Jewish (Heine family),—,low,ledger
Kraeutler & Mieville,German / Swiss,Émigré: German & Central European,,,German-Swiss,—,low,ledger
J. L. Lemme & Co,German,Émigré: German & Central European,,,German merchant,—,low,ledger
M. Levin & Adler,German-Jewish,Émigré: German & Central European,,,German-Jewish,—,low,ledger
B. Simon & A. Jacoby,German-Jewish,Émigré: German & Central European,,,German-Jewish,—,low,ledger
H. J. Enthoven & Sons,Dutch,Émigré: German & Central European,,,Dutch merchant,Netherlands neutral,medium,ledger
B. W. Blydenstein & Co,Dutch (Twente),Émigré: German & Central European,Benjamin Willem Blijdenstein,1858.0,Dutch (Twentsche Bank agency),Netherlands neutral; survived,medium,Cassis
J. C. Im Thurn & Co,Swiss (Schaffhausen),Émigré: German & Central European,,,Swiss,Switzerland neutral,medium,Chapman
"Bordier, Fabris & Co",Swiss (Geneva),Émigré: German & Central European,,,Genevan Protestant,Switzerland neutral,low,ledger
"Heilbut, Symons & Co",German,Émigré: German & Central European,,,German merchant,—,low,ledger
Ralli Brothers,Greek (Chios),Émigré: Greek & Levantine,Pandia Ralli & brothers,1818.0,Greek (Chiot diaspora),Greek; unaffected by enemy-alien rules; survived,high,"Chapman; Catsiyannis, The Rallis"
Schilizzi & Co,Greek (Chios),Émigré: Greek & Levantine,,,Greek (Chiot),—,medium,Chapman
Zarifi Brothers & Co,Greek (Constantinople),Émigré: Greek & Levantine,,,Greek (Ottoman),—,medium,Chapman
Spartali & Co,Greek,Émigré: Greek & Levantine,,,Greek (Chiot/Levantine),—,low,ledger
Leonino & Co,Italian-Jewish,Émigré: Greek & Levantine,,,Italian-Jewish / Levantine,—,low,ledger
Cama & Co,Parsi (Bombay),Émigré: Indian / Parsi,Cama family,1855.0,Parsi (first Indian firm in the City),Indian (imperial subject); —,medium,Chapman; Cassis
Framjee & Co,Parsi (Bombay),Émigré: Indian / Parsi,,,Parsi,—,low,ledger
Dadabhai Naoroji & Co,Parsi (Bombay),Émigré: Indian / Parsi,Dadabhai Naoroji,1855.0,Parsi; Naoroji later first Indian/British MP,—,high,Naoroji biographies
George Peabody & Co,American (Massachusetts),Émigré: American,George Peabody,1851.0,American; predecessor of J. S. Morgan,(superseded 1864),high,"Chapman; Carosso, The Morgans"
J. S. Morgan & Co,American,Émigré: American,Junius Spencer Morgan,1864.0,American (successor to Peabody); later Morgan Grenfell,Anglo-American; flourished as Allied war financier,high,"Carosso, The Morgans"
"Brown, Shipley & Co",Anglo-American (Baltimore/Liverpool),Émigré: American,Alexander Brown family,1810.0,Anglo-American (Brown Brothers),Survived,high,Chapman
McCalmont Brothers & Co,Anglo-American / Irish,Émigré: American,,,Anglo-American,—,low,ledger
Guaranty Trust Co of New York,American,Émigré: American,,1864.0,American trust bank (1914 entrant),Allied war finance,medium,ledger
International Banking Corporation,American,Émigré: American,,1902.0,American (Citibank precursor),—,medium,ledger
Baring Brothers & Co,"German-origin, naturalised Anglo establishment",British: private / merchant (native),John & Francis Baring (sons of Johann Baring of Bremen),1762.0,"German-émigré root, fully Anglo by 19thc; rescued 1890",Established Anglo house,high,"Ziegler, The Sixth Great Power"
"Glyn, Mills, Currie & Co",British,British: private / merchant (native),Glyn family,1753.0,English private bank,Survived,high,Kynaston
"Robarts, Lubbock & Co",British,British: private / merchant (native),,,English private bank,—,medium,ledger
"Overend, Gurney & Co","British (Quaker, Norwich)",British: discount house,Gurney family,1800.0,English Quaker; failed 1866,(failed 1866),high,Flandreau-Ugolini
Union Discount Co. of London,British,British: discount house,,1885.0,English discount house,Survived,high,ledger
National Discount Co.,British,British: discount house,,1856.0,English discount house,Survived,high,ledger
Alexanders & Co (discount),British (Quaker),British: discount house,Alexander family,,English Quaker discount house,Survived,medium,ledger
"Smith, St Aubyn & Co",British,British: discount house,,,English discount house,—,medium,ledger
"Sanderson, Sandeman & Co",British,British: discount house,,,English bill broker,—,low,ledger
Gillett Brothers,British (Quaker),British: discount house,,,English Quaker discount house,—,low,ledger
London County & Westminster Bank,British,British: clearing / joint-stock bank,,,English clearing bank,—,medium,ledger
Lloyds Bank,British,British: clearing / joint-stock bank,,,English clearing bank,—,high,ledger
National Provincial Bank,British,British: clearing / joint-stock bank,,,English clearing bank,—,high,ledger
Parr's Bank,British,British: clearing / joint-stock bank,,,English clearing bank,—,medium,ledger
Union of London & Smiths Bank,British,British: clearing / joint-stock bank,,,English clearing bank,—,medium,ledger
Oriental Bank Corporation,British colonial (East),Colonial / Imperial bank,,1842.0,Anglo-Eastern exchange bank; failed 1884/revived,—,high,"Jones, British Multinational Banking"
Agra & Masterman's Bank,British colonial (India),Colonial / Imperial bank,,1833.0,Anglo-Indian bank; failed 1866,(failed 1866),high,Jones
Bank of Hindustan,British colonial (India),Colonial / Imperial bank,,,Anglo-Indian bank,—,medium,ledger
"Chartered Bank of India, Australia & China",British colonial,Colonial / Imperial bank,,1853.0,Anglo-Eastern exchange bank,Survived (Standard Chartered),high,Jones
Hongkong & Shanghai Banking Corp.,British colonial (China),Colonial / Imperial bank,,1865.0,Anglo-Eastern exchange bank,Survived (HSBC),high,Jones
National Bank of India,British colonial (India),Colonial / Imperial bank,,1863.0,Anglo-Indian exchange bank,Survived,high,Jones
Mercantile Bank of India,British colonial (India),Colonial / Imperial bank,,1853.0,Anglo-Eastern exchange bank,Survived,medium,Jones
Bank of New South Wales,British colonial (Australia),Colonial / Imperial bank,,1817.0,Australian bank,Survived (Westpac),medium,ledger
Deutsche Bank (London),German,Foreign bank (1914 wartime),,1870.0,German universal bank — London branch,London branch sequestered & sold 1914-16 (Public Trustee),high,"Hansard 1916, German Banks in London"
Dresdner Bank (London),German,Foreign bank (1914 wartime),,1872.0,German bank — London branch,London branch sequestered & sold 1914-16,high,Hansard 1916
Disconto-Gesellschaft (London),German,Foreign bank (1914 wartime),,1851.0,German bank — London branch,London branch sequestered & sold 1914-16,high,Hansard 1916
London Hanseatic Bank,German,Foreign bank (1914 wartime),,,German-linked London bank,enemy-linked; wound down,medium,ledger
Crédit Lyonnais,French,Foreign bank (1914 wartime),,1863.0,French bank — London branch (Allied),Allied,high,ledger
Comptoir National d'Escompte de Paris,French,Foreign bank (1914 wartime),,1848.0,French bank — London branch (Allied),Allied,high,ledger
Banque Belge,Belgian,Foreign bank (1914 wartime),,,Belgian bank (Allied),Allied,medium,ledger
Swiss Bankverein,Swiss,Foreign bank (1914 wartime),,1854.0,Swiss bank — London branch (neutral),neutral,medium,ledger
Credito Italiano,Italian,Foreign bank (1914 wartime),,1870.0,Italian bank (Allied from 1915),Allied,medium,ledger
Banca Commerciale Italiana,Italian,Foreign bank (1914 wartime),,1894.0,Italian bank,Allied,medium,ledger
Imperial Ottoman Bank,Anglo-French / Ottoman,Foreign bank (1914 wartime),,1863.0,Anglo-French bank of the Ottoman Empire,enemy state but Anglo-French owned — complex,medium,ledger
Samuel Montagu & Co,Anglo-Jewish (German-Jewish descent),Émigré: German & Central European,Samuel Montagu (b. Montagu Samuel),1853.0,Jewish bullion broker; family of German-Jewish origin,Naturalised Anglo-Jewish; survived,medium,Cassis
R. Raphael & Sons,Sephardi-Jewish (Dutch/Portuguese),Émigré: Greek & Levantine,Raphael family,1787.0,Sephardi-Jewish bullion brokers,Long-established Anglo-Jewish; survived,medium,ledger; Chapman
King & Foa,Sephardi-Jewish / Anglo (Foa family),Émigré: Greek & Levantine,Foa family,,Levantine/Sephardi foreign-exchange house,—,low,ledger
A. Ruffer & Sons,French/German (Alsace),Émigré: German & Central European,Ruffer family,,Alsatian merchant bank (Lyon/London),French-aligned; strained,low,ledger
"Allen, Harvey & Ross",British,British: discount house,,,English bill broker / discount house,—,medium,ledger
"Bruce, Wilkinson & Co",British,British: discount house,,,English bill broker,—,medium,ledger
"Frith, Sands & Co",British,British: discount house,,,English bill broker,—,medium,ledger
White & Shaxson,British,British: discount house,,,English discount house,—,medium,ledger
Cater & Co,British,British: discount house,,,English discount house (later Cater Ryder),—,medium,ledger
Ryder & Co,British,British: discount house,,,English discount house,—,low,ledger
Cunliffe Brothers,British,British: private / merchant (native),Cunliffe family,,"English merchant bank (Lord Cunliffe, Governor of the Bank 1913-18)",merged into Goschen & Cunliffe 1920,medium,Kynaston
"Smith, Fleming & Co",British (Anglo-Indian),British: private / merchant (native),,,Anglo-Indian eastern merchant house,—,low,ledger
Wallace Brothers & Co,British (Anglo-Burmese),British: private / merchant (native),,,Anglo-Eastern merchant house,—,low,ledger
"Daniell, Cazenove & Co","British (Huguenot-descended, Anglo)",British: private / merchant (native),Cazenove family,,English (Huguenot-origin) house,—,low,ledger
Brightwen & Co,British,British: private / merchant (native),,,English merchant / bill house,—,low,ledger
"Reeves, Whitburn & Co",British,British: private / merchant (native),,,English merchant / bill house,—,low,ledger
"Baker, Duncombe & Co",British,British: private / merchant (native),,,English merchant / bill house,—,low,ledger
Barclay & Co,British (Quaker),British: clearing / joint-stock bank,Barclay family,1690.0,English Quaker clearing bank,—,high,ledger
Royal Bank of Scotland,British (Scottish),British: clearing / joint-stock bank,,1727.0,Scottish bank,—,high,ledger
Union Bank of Scotland,British (Scottish),British: clearing / joint-stock bank,,1830.0,Scottish bank,—,medium,ledger
National Bank of Scotland,British (Scottish),British: clearing / joint-stock bank,,1825.0,Scottish bank,—,medium,ledger
Capital & Counties Bank,British,British: clearing / joint-stock bank,,,English clearing bank,—,medium,ledger
Alliance Bank,British,British: clearing / joint-stock bank,,1862.0,English joint-stock bank,—,low,ledger
London Joint Stock Bank,British,British: clearing / joint-stock bank,,1836.0,English joint-stock bank,—,medium,ledger
London & South Western Bank,British,British: clearing / joint-stock bank,,1862.0,English clearing bank,—,medium,ledger
Manchester & Liverpool District Bank,British,British: clearing / joint-stock bank,,,English provincial joint-stock bank,—,low,ledger
London & River Plate Bank,British colonial (S. America),Colonial / Imperial bank,,1862.0,Anglo-South-American bank,—,medium,Jones
Anglo South American Bank,British colonial (S. America),Colonial / Imperial bank,,1888.0,Anglo-South-American bank,—,medium,Jones
London & Brazilian Bank,British colonial (Brazil),Colonial / Imperial bank,,1862.0,Anglo-Brazilian bank,—,medium,Jones
British Bank of South America,British colonial (S. America),Colonial / Imperial bank,,1863.0,Anglo-South-American bank,—,low,Jones
Standard Bank of South Africa,British colonial (Africa),Colonial / Imperial bank,,1862.0,Anglo-African bank,Survived (Standard Bank),medium,Jones
Bank of Africa,British colonial (Africa),Colonial / Imperial bank,,,Anglo-African bank,—,low,ledger
Eastern Bank,British colonial (East),Colonial / Imperial bank,,1909.0,Anglo-Eastern exchange bank,—,low,Jones
Canadian Bank of Commerce,British colonial (Canada),Colonial / Imperial bank,,1867.0,Canadian bank,Survived (CIBC),medium,ledger
Bank of Montreal,British colonial (Canada),Colonial / Imperial bank,,1817.0,Canadian bank,Survived,medium,ledger
Union Bank of Australia,British colonial (Australia),Colonial / Imperial bank,,1837.0,Australian bank,Survived (ANZ),medium,ledger
Yokohama Specie Bank,Japanese,Foreign bank (1914 wartime),,1880.0,Japanese exchange bank — London branch (Allied),Allied,medium,ledger
