counterparty_clean,n,value,rate,crises,types
Union Discount Co. Of London Ltd,115,10352861.34,5.326086956521739,1914,discount_house
Glyn Mills Currie,94,10097238.4,5.0,1914,other
London County & Westminster Bank Ltd,265,9271925.9,5.0,1914,commercial_bank
B. W .Blydenstein & Co,60,7082331.32,5.1,1914,merchant
National Discount Co.,91,6862189.109999999,6.05,1914,discount_house
Reeves Whitburn & Co,67,6174018.93,5.843283582089552,1914,merchant
Alexanders & Co Ltd,86,6159278.99,5.145348837209302,1914,merchant
Brightwen & Co,72,5720211.72,5.256944444444445,1914,merchant
Smith St Aubyn & Co,41,4894544.49,4.9625,1914,merchant
Overend Gurney & Co,60,4871776.9,8.108333333333333,1857+1866,merchant
Hohler & Co,45,4380520.8575,5.038888888888889,1914,merchant
A & G W Alexander & Co,51,4337505.385,8.693877551020408,1857,merchant
Lloyd'S Bank Ltd,73,4051027.05,5.0,1914,commercial_bank
King & Foa,51,3875752.79,5.303921568627451,1914,other
Baker Duncombe & Co Ltd,47,3677587.4,5.191489361702128,1914,merchant
National Provincial Bk Of England Ltd,58,3309195.8,5.0,1914,merchant
Allen Harvey & Ross,61,3087057.8,5.237704918032787,1914,other
London & River Plate Bank Ltd,16,2805472.55,5.0,1914,commercial_bank
Natl Bk Of India Ltd,34,2594595.35,5.044117647058823,1914,merchant
Union Smiths Bk Ho,107,2573360.0,5.0,1914,other
Haarbleicher Schumann,39,2280963.92,4.9423076923076925,1914,other
Bruce Wilkinson & Co,63,2239566.925,8.0,1857,merchant
Imperial Ottoman Bank,19,2237876.95,5.2894736842105265,1914,commercial_bank
Lon Jt Stock Bk,48,2215691.65,5.0,1914,other
"Chartered Bank Of India, Austrailia & China",22,2175719.51,4.988636363636363,1914,commercial_bank
Anglo South American Bank Ltd,39,2166880.925,4.653846153846154,1914,commercial_bank
Comptoir National D'Escompte De Paris,31,1901110.55,5.0,1914,other
R.Cunliffe Sons Co,24,1899733.23,5.520833333333333,1914,other
Sanderson Sandeman & Co,38,1781120.29,7.657894736842105,1857,merchant
London & Brazilian Bank,8,1745684.8499999999,5.0,1914,commercial_bank
Frith Sands & Co,45,1717569.92,8.433333333333334,1857+1866,merchant
Hong Kong & Shanghai Banking Corporation,24,1617882.8725,4.34375,1914,commercial_bank
Ryder & Co,20,1458923.00875,5.58125,1914,merchant
S.Montagu Co,32,1376063.7774999999,4.8203125,1914,other
Deutsche Bank,9,1321208.7,5.0,1914,commercial_bank
C.J.Hambro & Son,29,1286288.105,4.991379310344827,1914,other
N. M. Rothschild & Sons,12,1237482.3499999999,5.0,1914,merchant_bank
Union Smiths Bank Ld Lom St,147,1195134.2,5.0,1914,commercial_bank
Smith Fleming & Co,29,1130267.06,8.689655172413794,1866,merchant
F.Huth Co,21,1120477.16625,4.696428571428571,1914,merchant_bank
National Discount Co Of Limited,10,1115863.7,9.1,1866,discount_house
Lon S.Western Bk,45,1073072.5,5.0,1914,other
Banque Belge,25,1069739.9,5.0,1914,other
J.H.Schroder & Co,10,1031112.9,5.0,1914,merchant_bank
Yokohama Bk Ltd,7,1008933.25,5.0,1914,merchant
Lyon & Lucker,22,1005164.5299999999,4.9772727272727275,1914,other
Harwood Knight & Allen,19,984430.0,9.352941176470589,1866,other
British Bank Of South America Ltd,12,952994.2,5.416666666666667,1914,commercial_bank
Gillett Bros & Co,17,940985.02,5.176470588235294,1914,merchant
William Brandt'S Sons & Co,13,899189.73,5.846153846153846,1914,merchant
R Lawes & Co,25,888937.45,8.22,1857,merchant
Union Bank Of Scotland Ltd,11,881277.95,5.0,1914,commercial_bank
Baring Bros & Co Ld,7,864269.1499999999,5.0,1914,merchant_bank
Credito Italiano,15,862855.5499999999,5.0,1914,other
Alexander Cunliffes & Co,5,848266.2000000001,8.4,1866,merchant
Parr'S Bank Ltd,90,835460.3999999999,5.0,1914,commercial_bank
Royal Bank Of Scotland,38,830775.95,5.0,1914,commercial_bank
Mercantile Bank Of India Ltd,20,819240.29,4.6,1914,commercial_bank
White & Shaxson,22,782893.47,5.295454545454546,1914,other
Daniell Cafenove & Co,28,780754.33,5.071428571428571,1914,merchant
National Discount Corporation,19,775619.515,9.131578947368421,1857,discount_house
Agra & Mastermans Bank Limited,2,750000.0,10.0,1866,commercial_bank
Oriental Bank Corporation,14,715807.535,9.535714285714286,1857+1866,commercial_bank
Capital & Counties Bank Ltd,24,710577.2,5.0,1914,commercial_bank
International Banking Corporation,22,708043.2999999999,4.715909090909091,1914,commercial_bank
Nohler & Co,3,700000.0,9.833333333333334,1914,merchant
Eastern Bank Ltd,31,699639.39,4.838709677419355,1914,commercial_bank
Union Smiths Bk Ld,35,667362.65,5.0,1914,other
Guaranty Trust Co Of New York,7,653935.35,5.0,1914,merchant
Standard Bk Of S.Africa,17,619090.2999999999,5.0,1914,other
Canadian Bank Of Commerce,10,603157.095,4.175,1914,commercial_bank
Barclay & Co,4,595188.2,10.0,1866,merchant
Kleinwort Sons & Co,33,556727.5499999999,5.0,1914,merchant_bank
R Raphael & Sons,22,550584.5,7.333333333333333,1857+1866,other
Glyn & Co,5,550257.4,10.0,1857,merchant
Cater Greenwell & Co,9,526436.95,5.166666666666667,1914,merchant
Anglo Egyptian Bank Ltd,7,523242.64999999997,5.714285714285714,1914,commercial_bank
Alliance Bank Limited,4,520000.0,10.0,1866,commercial_bank
London County Bank,3,505035.2,10.0,1866,commercial_bank
Discount Corporation Limited,11,500000.0,9.090909090909092,1866,discount_house
G Peabody & Co,13,494353.93,9.115384615384615,1857,merchant
A. Ruffer & Sons,28,470857.44749999995,5.026785714285714,1914,other
Dresdner Bank,5,468421.24999999994,5.0,1914,commercial_bank
Banca Commerciale Italiana,11,443935.0,5.0,1914,other
Bank Of London Limited,2,430000.0,11.0,1866,commercial_bank
James Burness & Sons,8,426901.5,5.0,1914,other
Wallace Bros & Co Ld,10,419558.0525,4.125,1914,merchant
Fruhling & Goschen,13,419378.36,5.769230769230769,1857+1866+1914,other
Hy Sherwood & Co,10,418244.19999999995,6.15,1914,merchant
British Bank Of Foreign Trade Ltd,9,401400.64999999997,5.0,1914,commercial_bank
Chartered Merchant Bank Of India Limited,4,400000.0,6.5,1866,commercial_bank
Cunliffes & Co,9,380315.01,9.444444444444445,1857,merchant
National Bank Of Scotland,23,370236.85,5.0,1914,commercial_bank
Lon: Asiatic & American Coy Limited,18,365609.86,8.0,1866,merchant
Chilian Gout,1,364090.35,5.0,1914,other
Manchester & Liverpool District Bkg Co Ltd,7,358625.0,5.0,1914,merchant
Swiss Bankverein,5,346781.35,5.0,1914,commercial_bank
Hatimal Discount Co Ltd,3,344192.86,3.0,1914,discount_house
Haarbleichen Schumaum,25,328000.7,9.32,1866,other
The Ebbw Vale Co Ltd,19,323600.7,7.5,1866,merchant
Gledstones & Co,19,322102.0,9.105263157894736,1866,merchant
Bank Of Montreal,15,317946.95,5.0,1914,commercial_bank
F.Elles Son,17,316119.85,5.0,1914,other
Bank Of New South Wales,3,316000.0,7.333333333333333,1866,commercial_bank
Frederick Youle,24,308573.28,8.208333333333334,1866,other
Barnetts Hoare & Co On Account Of The Clydesdale Banking Company,4,302771.3,10.0,1857,commercial_bank
London Westminister Bank,1,300000.0,10.0,1866,commercial_bank
I. F. Pawson & Co,17,294766.42,8.235294117647058,1866,merchant
London Discount Corporation,23,293016.625,8.869565217391305,1857,discount_house
Lutgens & Ripley,16,290912.8,5.0,1914,other
National Bank Of India Ltd,2,290808.0525,3.125,1914,commercial_bank
Finlay Campbell & Co,4,289487.5,9.0,1866,merchant
Consolidated Discount Co Limited,9,288000.0,6.375,1866,discount_house
Glyn & Co O/A Union Bank Of Scotland,1,285729.92,8.0,1857,commercial_bank
Timothy Wiggin & Co,21,284535.705,8.404761904761905,1857,merchant
Union Bank Of Australia Ltd,14,284327.39999999997,5.0,1914,commercial_bank
The London Brazilian Bank,1,282000.0,6.0,1866,commercial_bank
Credit Lyonnais Per Glyn Mills Currie,1,281915.35,5.0,1914,other
Bank Of Hindustan Limited,6,279238.66000000003,9.8,1866,commercial_bank
Samuel Montagu & Co,19,276452.94,9.38888888888889,1866,merchant
Lon Hanseatic Bk Ld,12,274311.39,5.25,1914,other
Union Smiths Bank Prescotts,68,274230.8,5.0,1914,commercial_bank
Durant & Co,6,273099.93,8.833333333333334,1857+1866,merchant
Natl Bk Of Africa Ltd,1,268612.5,5.0,1914,merchant
G&R Dewhurst Ltd,8,263036.111875,4.7578125,1914,merchant
"Finlay, Hodgeson & Co",13,260994.94,8.153846153846153,1866,merchant
Kraeutler & Mieville,13,259095.74000000002,8.846153846153847,1857,other
Barnett & Co,6,258606.90000000002,9.666666666666666,1866,merchant
Robert Lawes & Co,5,257800.0,10.0,1866,merchant
Robert Smith & Co,47,257094.51,8.956521739130435,1866,merchant
The City Bank,2,255049.2,10.0,1866,commercial_bank
Mccalmont Brothers & Co,8,243828.72,9.5,1857,merchant
Direction Der Discounts,1,243103.09999999998,5.0,1914,discount_house
The London County Bank,1,239167.80000000002,10.0,1866,commercial_bank
"Drake, Kleinwort & Cohen",7,238208.40000000002,10.0,1866,merchant_bank
Konig Bros,3,233761.9,5.5,1914,merchant
Colonial Company Limited,8,232767.33,9.25,1866,merchant
Brightwen Gillet & Co,9,232254.0,10.0,1866,merchant
London River Place Bank Limited,12,224653.41999999998,7.833333333333333,1866,commercial_bank
Hyde Hodge & Co,38,222453.885,8.661764705882353,1857,merchant
S. Oppenheim & Sons,10,220475.7,7.8,1866,other
Suse + Sibeth,26,219100.66,7.903846153846154,1857,other
Williams Deacon'S Bank Ltd,10,213978.0,5.0,1914,commercial_bank
G Loder,4,209526.22999999998,8.0,1857,other
Colonial Bank,4,209025.7,8.75,1866+1914,commercial_bank
F Huth & Co,3,206427.6,10.0,1857,merchant_bank
Brown Shipley & Co,7,205353.89999999997,5.0,1914,merchant
Frederick Huth & Co,2,203778.0,10.0,1866,merchant_bank
Bank Of Wales,2,201077.94999999998,5.0,1914,commercial_bank
Bieber & Co,33,199628.25,9.578125,1857+1866,merchant
Streatfield Laurence & Co,25,199265.145,8.666666666666666,1857,merchant
Commercial Bank Of Scotland Ltd,9,198264.05,5.0,1914,commercial_bank
R. Raphael & Sons,8,196899.61,6.75,1866+1914,other
Robarts Lubbock Co,5,196156.94999999998,5.0,1914,other
Steven Brothers,6,190961.58,8.0,1866,other
R Heine Semon & Co,23,186549.8,8.847826086956522,1857,merchant
Anglo Austrian Bank,2,186328.24999999997,5.0,1914,commercial_bank
Cama & Co,29,186056.995,8.655172413793103,1857,merchant
Heywood & Co,3,184334.55,9.0,1857,merchant
C I Hambro & Son,8,184145.33,8.75,1857,other
J H Schroder & Co,7,180501.74,8.285714285714286,1857,merchant_bank
Martin'S Bank Ltd,15,175712.94999999998,5.0,1914,commercial_bank
Imp Merchant Credit Limited,4,175000.0,6.5,1866,merchant
"Naylor, Benzon & Co",12,172539.02,8.416666666666666,1866,merchant
P T Ralli,42,170952.45,9.464285714285714,1857,other
R. Cunliffe Son & Co,4,170000.0,9.5,1866,merchant
Sheppard Pelly & Co,4,169500.0,10.5,1866,merchant
Bischoffsheim & Goldschmidt,12,169437.43,7.125,1857+1866,merchant_bank
The Bornes Co Limited,5,168410.2,10.0,1866,merchant
B S & J Phillips & Co,22,167561.34,10.15,1857+1866,merchant
Boutcher Mortimore & Co,14,163512.65,8.5,1857+1866,merchant
R Cunliffe Son & Co,10,162713.865,7.55,1857,merchant
Commercial Banking Co. Of Of Sydney Ltd,5,161863.85,5.0,1914,commercial_bank
James Hill & Sons,11,159327.395,8.0,1857+1866,other
"Quenene, Furney & Co",2,157927.13,7.75,1857,merchant
Joseph Allard,28,155957.85,8.37037037037037,1866,other
J. C. Im Thurm & Co,12,146127.56,9.166666666666666,1866,merchant
H W Eaton,24,142978.2,8.635416666666666,1857,other
Union Bank Of Canada,7,142161.3675,5.464285714285714,1914,commercial_bank
Lon Lpool Bk Of Comce,12,141767.55,5.0,1914,other
Stern Bros,3,138699.05,5.0,1914,merchant
J L Lemme & Co,4,136584.675,5.875,1857,merchant
R Rodger,10,135776.82,6.65,1857,other
Royal Bank Of Canada,2,135457.9875,4.125,1914,commercial_bank
Andy Gibbs & Sons,5,135049.26,8.8,1866,merchant_bank
Imp. Ottoman Government,1,135000.0,10.0,1866,other
J C Bailey,3,135000.0,10.0,1857,other
Elias & Co,13,134345.085,8.153846153846153,1857+1866,merchant
Schunck Souchay & Co,9,133838.21,7.111111111111111,1857,merchant
Consolidated Bank Limited,2,131190.30000000002,10.0,1866,commercial_bank
Heugh Balfour & Co,15,128543.66,8.642857142857142,1857+1866,merchant
J & R Morley,17,128391.96,9.0,1857+1866,other
Barclay & Co Ltd,33,125872.15,5.0,1914,merchant
W & J Devas & Co,21,124709.86,8.476190476190476,1866,merchant
National Bank Of Australasia,4,123339.90000000001,10.0,1866,commercial_bank
H Sherwood Co,1,123022.19,3.0,1914,other
Haycroft & Pethick,17,118786.535,8.323529411764707,1857+1866,other
Metrop Provincial Bank Limited,9,118475.70000000001,10.571428571428571,1866,commercial_bank
Robert Benson & Co,4,115514.78,9.5,1866,merchant
Cavan Brothers & Co,6,115135.23999999999,7.25,1857,merchant
I. Leonino & Co,12,114839.96,9.5,1866,merchant
"Soanes, Son & Page",8,112536.26,8.25,1866,other
S.N.Schroder & Co,1,111542.34999999999,5.0,1914,merchant_bank
"Barker, Benwell & Co.",2,110000.0,7.0,1866,merchant
S.P. Framjee & Co,16,108968.97,6.125,1866,merchant
David Evans & Co,36,107087.385,7.986111111111111,1857+1866,merchant
Pastre Brothers,12,106995.18,8.958333333333334,1866,other
Bomanjee Framjee Cama & Co,14,105923.03,7.5,1866,merchant
A Bell & Sons,33,104493.76,7.121212121212121,1857,other
H. W. Eaton,6,103359.62,8.333333333333334,1866,other
F. T. Elworthy,11,102652.54000000001,8.272727272727273,1866,other
B Simon & A Jacoby,8,101706.32,8.5,1857,other
Dinsdale Drewell & Co,2,101642.9,10.0,1857,merchant
H J Einthoven & Sons,10,101176.62,8.4,1857,other
Lat Discount Co Lo,3,100272.09,5.5,1857,discount_house
Leaf Sons & Co,10,99803.69,8.8,1857+1866,merchant
Horstman & Co,8,99717.28,9.5,1857+1866,merchant
Lon: River Plate Bank Limited,2,99646.2,10.0,1866,commercial_bank
Bco & Del Rio De La Hala,1,99407.04999999999,5.0,1914,merchant
Robinson & Fleming,11,98829.31,7.545454545454546,1866,other
I. W. Cater Inman & Co,14,97718.86,8.535714285714286,1857,merchant
"Dennistoun, Cross & Co",4,97344.55,8.75,1866,merchant
Bradbury & Cook,26,97236.4,9.192307692307692,1857+1866,merchant
Alex Bell & Sons,20,95830.05,8.45,1866,other
Ralli Bros,3,94662.75,5.0,1914,merchant
Blogg & Martin,1,94000.0,10.0,1866,other
Foy Morgan & Co,3,91818.26,4.75,1914,merchant_bank
Arthur & Co,10,91624.92,8.8,1866,merchant
Walhampton & Staffordshire,1,91579.5,10.0,1857,other
Dadabhai Naoroji & Co,22,90862.47,7.318181818181818,1866,merchant
T & J Ralli,41,90859.81,7.7317073170731705,1866,other
Williams Deacon & Co On Each Of The Dudley + West Bromwich Co,3,90000.0,10.0,1857,merchant
H.J. Enthoven & Sons,8,89306.23999999999,7.5625,1866,other
Duncan Fox & Co,4,87687.84999999999,5.0,1914,merchant
Ellis Everington & Co,10,85429.145,8.2,1857,merchant
National Bank Of New Zealand,1,85217.84999999999,5.0,1914,commercial_bank
Francis Ede Son & Co,20,84949.31,8.0,1857,merchant
Crawshay Bailey,4,84394.7,10.5,1866,other
W Brandt'S Sons & Co,12,84283.06,8.833333333333334,1866,merchant
Cook Sons & Co,18,83031.305,7.444444444444445,1857,merchant
C. & C. I. Coles,14,81295.2,8.142857142857142,1857+1866,other
British Bank Of North America Ltd,4,80847.84999999999,5.0,1914,commercial_bank
Anglo Egyptian Bank Limited,3,79440.3,10.0,1866,commercial_bank
Rt Lowes & Co,2,79212.025,5.5,1857,merchant
E Sieveking & Son,13,78960.02,8.038461538461538,1857,other
T. Tapling & Co,24,77301.42,7.958333333333333,1866,merchant
Peter Rolt & Co,13,76369.6,7.923076923076923,1866,merchant
Lon Provincial Bk,24,74464.8,5.0,1914,other
Bell & Grant,18,74344.27,8.694444444444445,1857+1866,other
J Leonino & Co,10,74117.9,8.2,1857,merchant
East London Bank Limited,3,73178.1,10.0,1866,commercial_bank
H L & C Edwards & Co,12,73060.12,9.25,1857+1866,merchant
Gresend & Co,1,73000.0,5.5,1857,merchant
Anglo Italian Bank Limited,2,70000.0,11.0,1866,commercial_bank
Robinson & Flemming,11,68694.865,8.227272727272727,1857,other
Schilizzi & Co,15,67976.935,7.2,1857+1866,merchant
Morrison Dillon & Co,9,66708.90000000001,10.0,1857,merchant
Aberdare Iron Co.,2,66444.3,11.0,1866,merchant
Mitchell Yeames & Co,5,65324.22,8.4,1866,merchant
Heilbut Symons & Co,1,64698.799999999996,5.0,1914,merchant
Price & Pierce Ltd,7,64340.049999999996,4.642857142857143,1914,merchant
D. D. Cama & Co,7,64075.0,7.571428571428571,1866,merchant
Banca De Espana,3,63926.44999999999,5.0,1914,other
Wallace Brothers,6,63814.380000000005,8.75,1866,other
Egyptian Tubale Acct,1,63804.509999999995,5.5,1857,other
J. S. Morgan & Co,2,63645.0,9.0,1866,merchant_bank
Jacob Walter & Co,7,63587.457500000004,5.178571428571429,1914,merchant
James Fowa,6,63486.145,5.9,1857,other
Edwards Eastty & Co,12,63226.625,6.909090909090909,1857+1866,merchant
London Bank Of Australia Ltd,3,62004.6,5.0,1914,commercial_bank
Peek Bros & Co,22,60539.125,8.545454545454545,1857,merchant
Suse & Sibeth,12,60178.42,9.333333333333334,1866,other
E. B. Meyes,1,60000.0,6.0,1866,other
Baring & Co,1,60000.0,10.0,1857,merchant_bank
Giles Loder,1,59987.700000000004,10.0,1866,other
Byass & Son,8,59925.44,8.625,1866,other
Baring Brothers & Co,1,59000.0,10.0,1857,merchant_bank
E H Brandts Son & Co,12,58408.08,9.333333333333334,1857,merchant
M Levin & Adler,17,58339.159999999996,8.852941176470589,1857,other
P Grenfell & Sons,3,58326.090000000004,9.0,1857+1866,other
English Joint & Stock Bank Limited,3,58000.0,7.0,1866,commercial_bank
Borneo Co Ltd,7,57205.2,5.0,1914,merchant
Beith Stevenson & Co,7,55956.125,4.857142857142857,1914,merchant
Bennison & Lennard,4,55814.5,8.75,1866,other
Zarifi Brothers & Co,5,55602.700000000004,8.4,1857+1866,merchant
Robinson Fleming & Co,1,55506.6,5.0,1914,merchant
Bennison Lermard,9,55207.22,6.555555555555555,1857,other
London County Bank For The Midland Bank,1,55000.0,10.0,1866,commercial_bank
Bradbury Greatorex & Co,10,54910.125,8.4,1857,merchant
W M Andrew & Sons,12,54748.619999999995,8.0,1866,other
Bank Of Egypt,3,54201.600000000006,10.0,1857,commercial_bank
Daniell Dickinson & Co,13,54197.1,9.615384615384615,1857,merchant
H. T Morgan & Co,1,53894.700000000004,10.0,1866,merchant_bank
Spartali & Co,8,53709.23,9.25,1857+1866,merchant
R Smith & Co,6,53406.9,9.666666666666666,1857,merchant
Bordier Fabris & Co,17,52379.405,8.705882352941176,1857,merchant
Mildred Goyeneche & Co,4,52289.4,10.0,1866,merchant
Price & Co For The Bedford,1,52116.3,10.0,1866,merchant
N Cohen,5,52029.9,8.3,1857,other
Hoare Buxton & Co,4,52019.33,7.625,1857,merchant
Bank Of British West Africa Ltd,5,51756.0,5.0,1914,commercial_bank
G B Carr,9,51077.07,8.277777777777779,1857,other
Thomas Tapling & Co,29,51033.125,7.698275862068965,1857,merchant
Mildred Goyenchi & Co,2,50968.45,5.0,1914,merchant
C. Bailey,3,50802.36,10.666666666666666,1866,other
"Iwing, Ebsworth & Holmes",5,50642.92,8.0,1866,other
Mullens Marshall & Co,1,50000.0,10.0,1857,merchant
Smith Payne & Smiths,1,50000.0,10.0,1857,other
Vyse Sons & Co,19,49826.54,8.473684210526315,1866,merchant
Weston + Laurie,6,49070.2,10.0,1857,other
Somes Mullens & Co,18,48865.36,8.676470588235293,1857+1866,merchant
A. L. Elder,3,48583.67,8.833333333333334,1866,other
S .Japhet Co,2,48500.0,3.0,1914,other
