left,keyword,right
the commercial community regarding the law as to contracts with,aliens.,An enormous number of contracts were entered into by the
in regard to contracts which are still running with an,alien,"enemy, whether they are, in effect, abrogated altogether, or merely"
regard to contracts which are still running with an alien,"enemy,","whether they are, in effect, abrogated altogether, or merely suspended"
to go to law at the present time with a,German,"firm so as to find out what his rights are,"
somewhat difficult point&#x2014;that is the question of reinsurance treaties with,alien,"insurance companies. I explained this matter a week ago, and"
insurance companies here have what is called reinsurance treaties with,German,and other alien companies. What the insurance companies want to
have what is called reinsurance treaties with German and other,alien,companies. What the insurance companies want to know is what
"contract, or insurance with, or for the benefit of an",enemy;,"nor to accept, or give effect to any insurance of,"
"or entered into with, or for the benefit of, an",enemy,"before the outbreak of the War."" That portion of the"
"the Proclamation, Clause 6 says:&#x2014; ""Provided always that where an",enemy,"has a branch locally situated in British, allied, or neutral"
shall not be treated as transactions by or with an,"enemy.""",I would ask the Attorney-General if he would explain to
reinsurance company had a branch in London&#x2014;and nearly all these,German,companies have&#x2014;would enable the business to go forward just in
which may be made between an English company and a,German,company by which premiums and risks and losses may be
is bound by the Proclamation and the other is an,enemy.,I think that is a clear statement and an accurate
in this country of enterprises whose headquarters are in the,enemy,country. That provision was designed principally to permit trading with
certain special restrictions on the branches in London of certain,German,"banks, and I agree the same consideration to a large"
continuing business with a London branch with headquarters in an,enemy,country is not to be understood to apply. That is
"a subject of our own, and the other is an",enemy,in the sense that he resides and carries on business
sense that he resides and carries on business in the,enemy,"country. He says, we have made our contract in times"
"Buntingford, relating to a farm colony known as Libury Hall",German,"Farm Colony; whether he has replied to that memorial; and,"
the matter is still under the consideration of the Destitute,Aliens,"Committee, to whom I referred the memorial. I may say,"
"the memorial. I may say, however, that most of the",Germans,"in the colony have been removed, and there now remain"
into newspaper offices shall not be accessible to persons of,alien,enemy origin or sympathies? Mr. McKENNA All cables and telegrams
newspaper offices shall not be accessible to persons of alien,enemy,origin or sympathies? Mr. McKENNA All cables and telegrams are
"access to unpublished news to persons in sympathy with, the",enemy.,Mr. JOYNSON-HICKS asked the Home Secretary how many alien enemies
the enemy. Mr. JOYNSON-HICKS asked the Home Secretary how many,alien,enemies are now interned in the various concentration camps; and
whether he can give any estimate of the number of,alien,enemies still at large? Mr. McKENNA I am informed by
am informed by the War Office that the number of,alien,"enemies, other than prisoners taken in action or on merchant"
"14,500. Comparing this number with the figures of adult male","Germans,","Austrians and Hungarians registered at the beginning of the War,"
"treatment, including freedom from arrest, is being extended to certain",alien,"enemies, who being of Polish race are certified by the"
or Prussia; and whether he will consider the granting to,alien,enemies who are Hungarian subjects of approved goodwill a correspondingly
the law is shown them in the enforcement of the,Aliens,"Restriction Act . I regret, however, that the circumstances of"
employers whether they would be prepared again to employ certain,alien,enemies; and to move for a Return of the number
and to move for a Return of the number of,alien,"enemies, not including prisoners of war, who were still interned"
"last, when I initiated a debate on the subject of",alien,"enemies, I was asked by the noble Lord the President"
but to those patriotic employers who refused to take the,aliens,"back into their service. It may be, of course, that"
the patriotic public will refuse to patronise establishments at which,alien,enemies have been taken back. I noticed the other day
letter written from the Isle of Man by an interned,alien,"enemy to the manager of the Welbeck Palace Hotel, London,"
written from the Isle of Man by an interned alien,enemy,"to the manager of the Welbeck Palace Hotel, London, asking"
their way to announce that they will release at once,alien,"enemies who can get work, because the re-employment of these"
"of this practice in a letter, also dated from the",Aliens',"Camp at Douglas, Isle of Man, which has been placed"
there is this great anxiety to find employment 499 for,alien,enemies. I should like to know whether the Government are
the war is over they will take care that all,alien,enemies are deported and that their places are offered to
employers whether they would be prepared again to employ certain,alien,enemies? I see that it was carefully stated by the
"of that kind, how is he to ascertain whether the",alien,can support himself except by going to his late employer?
the Police? Is it not a strong hint that the,alien,"should be taken back, the employer thus keeping on good"
displayed by His Majesty's Government to procure the re-employment of,alien,enemies. In addition to this notice to the Police there
notice to the Police there is the fact that the,aliens,in the concentration camps recognise that the Home Office is
"areas."" Why should it not be at once settled that",alien,enemies are not to reside in the prohibited areas? Personally
"Home Secretary himself, there are at the present moment 695",alien,enemies residing in them. Would it not be very much
Would it not be very much simpler to exclude all,alien,enemies from the prohibited areas? After the experience we have
"wise to extend the prohibited areas to, and exclude all",alien,"enemies from, the whole of the West Coast of Scotland,"
"of Scotland, where there are plenty of places at which",German,submarines could obtain petrol. And one individual should be made
one individual should be made answerable for the return of,enemy,aliens to other parts of England. This would do away
individual should be made answerable for the return of enemy,aliens,to other parts of England. This would do away with
reason. Lord Lucas then informed me that the number of,alien,"enemies released between November 27, 1914, and January 1 this"
"noble Viscount, I have to state that the number of",alien,"enemies released during November, 1914, was 850; the number released"
"2,680. VISCOUNT GALWAY Can the noble Lord state how many",alien,enemies were interned on November 1? LORD LUCAS The total
they had taken in trying to obtain employment for released,aliens.,The Police have never been employed in doing that. To
War Office is in regard to the release of interned,aliens.,The War Office decided that if it could be clearly
decided that if it could be clearly shown that an,alien,who had been interned was not suspicious or in any
by the War Office that a large body of destitute,aliens,"might become a danger to law and order, and that"
therefore decided to lay down two conditions before an interned,alien,"was released&#x2014;namely, that it should be proved to their satisfaction,"
"it should be proved to their satisfaction, first, that the",alien,"in question was not in any way a dangerous person,"
on his release he was able to obtain employment. The,aliens,were in a great many cases asked to state whether
accurate. In the cases where the statement made by the,alien,to the effect 502 that he could obtain employment has
simply for the purpose of ascertaining the accuracy of the,aliens',statements that such inquiries as have been carried out by
noble Viscount expressed the opinion that the fact that an,alien,after his release was able to obtain employment meant depriving
case. He also suggested that the positions held by the,aliens,who are at present interned in this country should be
"the greater proportion, of the positions that were held by",enemy,aliens are not jobs which returned soldiers would thank anybody
"greater proportion, of the positions that were held by enemy",aliens,"are not jobs which returned soldiers would thank anybody for,"
offered to them. I now come to the point of,alien,enemies still inhabiting prohibited areas. Aliens in these districts are
to the point of alien enemies still inhabiting prohibited areas.,Aliens,"in these districts are dealt with by the military authorities,"
the prohibited areas as obtain for the general treatment of,alien,enemies as a whole. The Military Commander of the District
District is the authority who decides as to how the,aliens,in his district shall be treated. The services of the
"them, for making the necessary inquiries as to whether particular",aliens,"are dangerous, and on the information collected for him by"
is in a position to decide whether or not the,aliens,should be removed from the area over which he has
say whether he does or does not wish to have,aliens,removed from his district. LORD NEWTON Would the noble Lord
make this suggestion because the figures have been published in,"Germany,","in Russia, and, I think, in Austria, and I have"
number of prisoners of war actually taken. LORD NEWTON The,Germans,"have. LORD LUCAS If I remember right, they include among"
been said from the Government Bench with regard to these,"aliens,",as I happen to have received some information regarding them
a large number of those who have been interned as,enemy,"aliens have lived in this country for a long time,"
large number of those who have been interned as enemy,aliens,"have lived in this country for a long time, have"
for all practical purposes English but who have never become,naturalised.,They are entirely in sympathy with us in this war.
cases in which the children of persons who are technically,alien,enemies are serving in His Majesty's Army. Many of these
there is the case&#x2014;it is a very difficult one&#x2014;of those,aliens,"who, if released, are without any visible means of subsistence."
in the large towns where a considerable number of these,aliens,"have resided, and ask the committees to obtain information which"
information which would be satisfactory regarding the character of the,"aliens,",to give security for their good behaviour if any question
"discussions&#x2014;namely, that the really dangerous spy is not always the",alien,"enemy. It is not the man with a German accent,"
that the really dangerous spy is not always the alien,enemy.,"It is not the man with a German accent, a"
the alien enemy. It is not the man with a,German,"accent, a German name, and a blonde 505 beard who"
"It is not the man with a German accent, a",German,"name, and a blonde 505 beard who is the most"
disposition to rest satisfied with fixing attention upon people with,German,"names and of German nationality, but that those who are"
with fixing attention upon people with German names and of,German,"nationality, but that those who are responsible shall keep an"
that the whole administration of the Acts and regulations concerning,Aliens,and suspected persons during the War should be concentrated in
"will be disputed by anyone, that there are some 70,000",alien,enemies now in this country. I would call the attention
have got the peril to life in the presence of,enemy,"aliens, many of whom may be spies or a danger"
got the peril to life in the presence of enemy,"aliens,",many of whom may be spies or a danger to
"Home Secretary himself admitted that there are over 20,000 male",aliens,"in London, of whom 16,000 are of military age&#x2014;that is"
"we have in our City to-day in our midst 16,000",aliens,of military age. I wonder how many Englishmen of military
there is quite a possibility of danger from these un-interned,aliens.,I cannot accept&#x2014;and I do not think we can accept&#x2014;the
of danger from a raid through the presence of these,enemy,aliens in our midst. I do not say they are
danger from a raid through the presence of these enemy,aliens,in our midst. I do not say they are all
their Belgian neighbours. They were the first to help the,German,Army when they overran Belgium. I can tell of an
"if there were the possibility of a raid, the 16,000",enemy,male aliens in London alone should not be a source
"were the possibility of a raid, the 16,000 enemy male",aliens,in London alone should not be a source of danger
us. I do not want anything harsh done with these,"Germans,","but they have come here for their own purposes, not"
"their own purposes, not for ours; they are admittedly born","Germans,","they have not even become, as they might have been,"
"even become, as they might have been, many of them,",naturalised,"Englishmen. These 16,000 have said, ""No, we will not become"
we prefer to live and trade in that country as,alien,"enemies,"" and I say that when there is a war"
say that when there is a war between ourselves and,Germany,"these men who are here for their own purposes, and"
"in this country, cannot complain if we treat them as",alien,enemies. The two main causes of uneasiness with which I
"deal to-day are, of course, the large number of un-interned",alien,enemies and aliens in prohibited areas. But there are one
"of course, the large number of un-interned alien enemies and",aliens,in prohibited areas. But there are one or two smaller
"to mention. There is, of course, the question of interned",alien,enemies in those ships at Portsmouth. 836 I believe the
I had with the Home Secretary regarding the entry of,aliens,into our country. In November last I asked a question
I asked a question containing statements regarding the entry of,alien,"enemies, particularly from America&#x2014;whether large numbers of aliens did not"
"entry of alien enemies, particularly from America&#x2014;whether large numbers of",aliens,did not come over in Atlantic liners; and I suggested
was no adequate precaution taken at Liverpool for bringing together,aliens,"there. I was crushed by the right hon. Gentleman, and"
was:&#x2014; The facts are not as stated. No passengers of,German,nationality on the 'Lusitania.' The examination of passengers at Liverpool
likes. They say that there were a large number of,Germans,"on the ""Lusitania"" on that very voyage. German was heard"
"number of Germans on the ""Lusitania"" on that very voyage.",German,"was heard being spoken all over the ship, and one"
and one of them saw on a writing pad distinct,German,words which had been blotted. As regards the gravamen of
"to the stewards who came along the deck and shouted,","""Aliens","this side, Britishers the other!' Those of us who were"
examination of any kind. I can personally testify to one,alien,who came through with the Britishers without any inquiry at
is a more strict observation kept upon the landing of,aliens,"in our ports. Then, again, there is a considerable difference"
"big Italian banks, the Banca Commerciale Italiana. It is a",German,"controlled bank, with German directors, and it is one of"
"Banca Commerciale Italiana. It is a German controlled bank, with",German,"directors, and it is one of the leading Gorman financial"
"is in Old Broad Street, and it is really a",German,"agency, with a German manager, a German deputy-manager, and three"
"Street, and it is really a German agency, with a",German,"manager, a German deputy-manager, and three enemy sub-managers, all of"
"is really a German agency, with a German manager, a",German,"deputy-manager, and three enemy sub-managers, all of military age. Will"
"agency, with a German manager, a German deputy-manager, and three",enemy,"sub-managers, all of military age. Will it be believed that"
but the rest have been let out. There is a,German,"named Weil, who was either the manager or the deputy-manager,"
managing and controlling that bank more in the interests of,German,directors than of this country? Another case was put before
asked a question last week about the alleged drilling of,aliens,"in the Isle of Man camp, and in spite of"
corresponding with the chief constable of Suffolk in reference to,aliens,"born here of German parents, and, the chief constable writes:&#x2014;"
constable of Suffolk in reference to aliens born here of,German,"parents, and, the chief constable writes:&#x2014; A man and his"
chief constable writes:&#x2014; A man and his sister are British-born,Germans.,They are on my confidential register.&#x2026; I can give the
is desirable. They go about expressing themselves in favour of,Germany.,"For years I have had great, difficulty in dealing with"
"Bissing, and there is also the case of another well-known","German,","Count von B&#x00FC;llow, the brother of the German ex-Chancellor, who"
"another well-known German, Count von B&#x00FC;llow, the brother of the",German,"ex-Chancellor, who throughout the whole of the War, has been"
to help the Government in dealing with this question of,aliens.,"One of the special constables wrote to Scotland Yard, as"
Sunderland wrote:&#x2014; Two days after the bombardment of Hartlepool thirty-four,Germans,were arrested and taken to the police station. The next
on whose authority I cannot say. The following Monday all,aliens,received notice that they would have to go back from
Chief Constable of Suffolk with regard to the removal of,aliens,in a prohibited area. Therefore the Home Secretary is taking
that questions in this House have been answered dealing with,aliens,"by the Secretary of State for the Home Department, since"
has never been said. The responsibility for the internment of,aliens,rested from the first on the War Office and has
had the sole responsibility with regard to the internment of,aliens,from the first. Mr. JOYNSON-HICKS That does not coincide with
The Prime Minister's reply related to the release of interned,aliens.,"For a short period, before 11th November, the release of"
"For a short period, before 11th November, the release of",aliens,"was handed over to me, but it was resumed by"
"What happened in this matter, particularly of the release of",aliens,which was handed over to the War Office? It was
obtained from the police with regard to the release of,enemy,"aliens. I should imagine he says, ""We think that these"
from the police with regard to the release of enemy,aliens.,"I should imagine he says, ""We think that these men"
"Sir Herbert Belfield started this work, to 12th February, 1,916",aliens,"were released. Roughly, they are released at the rate of"
"other duties, to personally consider the release of one thousand",enemy,aliens each month since he has been appointed to this
"duties, to personally consider the release of one thousand enemy",aliens,each month since he has been appointed to this work.
come across various other bodies who have to do with,aliens.,"There is the Chief Constable of every county, there is"
with this question of the internment and the release of,"aliens,",in one way or the other. Surely they should be
to help the administration of justice with regard to these,aliens,which I should like to mention. He is a man
"many people there were convinced, that there was a certain",German,amongst them who ought to be interned. He telephoned to
boasted of his anti-British feelings and who desired that the,Germans,should win in this War. He was just the kind
to find out any action on the part of this,German,against the interests of this country is of minor importance&#x2014;
"admit that is a strong letter, but instead of the",alien,being interned the chief constable turned round and abused ray
and abused ray friend as if he had been the,alien,and had no rights in the matter at all. When
"The Home Office on 7th September issued a circular, ""All",German,Reservists under the age of forty-five to be held as
is responsible with regard to the letting out of these,enemy,aliens. We have asked questions in this House with regard
responsible with regard to the letting out of these enemy,aliens.,We have asked questions in this House with regard to
We have asked questions in this House with regard to,alien,"waiters. Again, I am going to make an admission. I"
an admission. I admit that the statements in regard to,alien,"waiters were exaggerated, but there were 845 some alien waiters"
"to alien waiters were exaggerated, but there were 845 some",alien,waiters who were released after the police had been to
are not paid to be employed to find berths for,enemy,aliens of any kind. Mr. McKENNA They were not so
not paid to be employed to find berths for enemy,aliens,of any kind. Mr. McKENNA They were not so employed.
the part of any policeman to find employment for any,German.,The simple question was put: Is the statement made by
to ask people whether they are prepared to take back,enemy,aliens. That is really what it comes to. There are
ask people whether they are prepared to take back enemy,aliens.,That is really what it comes to. There are to-day
number of the hotels who have a certain number of,Germans,in their employ. Surely there is no need at this
no need at this time of the day to employ,aliens.,"There are many of our own men wanting work, particularly"
are two well-known railway terminus hotels in London which have,aliens,in them to-day. They are the terminus hotels of our
"outside, it is rather a shame that there should be",enemy,aliens employed in the hotels. The gravamen of my charge
it is rather a shame that there should be enemy,aliens,employed in the hotels. The gravamen of my charge all
"of my charge all comes to this. You have 18,000",enemy,aliens in London to-day and 685 male enemy aliens in
"my charge all comes to this. You have 18,000 enemy",aliens,in London to-day and 685 male enemy aliens in the
"have 18,000 enemy aliens in London to-day and 685 male",enemy,aliens in the prohibited areas on the East Coast. That
"18,000 enemy aliens in London to-day and 685 male enemy",aliens,in the prohibited areas on the East Coast. That is
who says that Lord Kitchener is responsible for permitting 685,enemy,alien males to reside on the East Coast of this
says that Lord Kitchener is responsible for permitting 685 enemy,alien,"males to reside on the East Coast of this country,"
good of having a prohibited area if you allow 685,alien,"enemies to reside there? I have been informed, in answer"
"area? The demands I make are threefold. First, that all",alien,enemies in London should be interned. That is a large
"That is a large order, but it is done in","Germany,",because Germany is thorough in regard to the way in
"a large order, but it is done in Germany, because",Germany,is thorough in regard to the way in which it
scarcity of huts or places in which to put these,aliens.,"I will venture to suggest two places. Our workhouses, happily,"
have a good deal of workhouse accommodation available for these,aliens.,"In addition to that, there is the Crystal Palace, which"
Palace is a place admirably adapted for the accommodation of,alien,enemies. Is there any reason why they should not be
"what has occurred there. Consequently, I ask that all the",aliens,"in London should be interned. Secondly, I ask that all"
"London should be interned. Secondly, I ask that all the",aliens,"in prohibited areas should be cleared out&#x2014;men, women, and children."
administration of all the Acts and regulations in regard to,alien,"enemies or suspected persons, which includes Englishmen, to be concentrated"
could not on that occasion raise that part of the,alien,question which dealt with matters that refer to the War
with some of the general questions arising out of the,alien,danger. Surely it is not disputed in any quarter that
"very real one! It is admitted we have some 70,000",aliens,"dwelling in this country, and I think the speech of"
got the peril to life in the presence of many,"aliens,","many of whom may be spies, or a danger to"
are spontaneously capable of any unpatriotic action. Rather I believe,enemy,agitators may easily have endeavoured to foster and increase any
"question, if it is true&#x2014;and it is true undoubtedly&#x2014;that all",aliens,"are not enemies, it is equally true that all enemies"
"enemies, it is equally true that all enemies are not",aliens.,We have a great variety of classes of people who
I would go so far as to say that the,unnaturalised,"German living in this country, the man who remains openly"
would go so far as to say that the unnaturalised,German,"living in this country, the man who remains openly a"
"living in this country, the man who remains openly a",German,"subject, is not by any means 849 the most dangerous."
That man at the outbreak of the War was a,German,subject; he had never taken the trouble to become naturalised.
German subject; he had never taken the trouble to become,naturalised.,"The right hon. Gentleman has since, and I think very"
I believe that by far the most dangerous are those,Germans,"living in this country who have recently, in many cases,"
"in this country who have recently, in many cases, become",naturalised,"British subjects. Obviously, if a man came to this country"
"mischievous intentions, he would take the precaution to become a",naturalised,Britisher in order to facilitate the objects he had in
as he is able to do so without losing his,German,nationality. I think we can look upon the cases of
good deal more suspicion than upon the cases of the,unnaturalised,Germans here. Then I come to the question of women.
deal more suspicion than upon the cases of the unnaturalised,Germans,here. Then I come to the question of women. Apparently
"Friend has referred, on the 1st January there were 695",alien,"enemy males and 2,302 alien enemy females. I cannot help"
"has referred, on the 1st January there were 695 alien",enemy,"males and 2,302 alien enemy females. I cannot help thinking"
"1st January there were 695 alien enemy males and 2,302",alien,enemy females. I cannot help thinking that something should be
"January there were 695 alien enemy males and 2,302 alien",enemy,females. I cannot help thinking that something should be done
this danger. Even if you intern the whole of the,Germans,"living in this country, you would not entirely settle the"
is well known that very large numbers of men of,German,"blood and sympathies are subjects of neutral countries, especially of"
"granted, especially in the case of those who retain their",enemy,nationality. It seems to me that that power of revocation
"To-day the Chamber dealt, with a Bill against persons of","German,","Austrian, and Turkish origin who have adopted French nationality. After"
Government Bill was passed. It annuls naturalisation of persons of,enemy,"origin who retained their original nationality after adopting French, who"
case where the man was admitted to be an open,enemy,"of this country, but because he was a naturalised Britisher"
"open enemy of this country, but because he was a",naturalised,Britisher he could not be interned except by the ordinary
been able to deal with him as with any other,alien,"and intern him on suspicion, and at the end of"
desirable that something should be done with regard to women,alien,enemies. The hon. Member for Pontefract (Mr. Booth) referred yesterday
non-military age who are in this country and are of,German,origin back to Germany? It is as well that the
in this country and are of German origin back to,Germany?,It is as well that the Germans should have the
origin back to Germany? It is as well that the,Germans,"should have the pleasure of feeding them, instead of the"
which it is suggested that it is dangerous to allow,aliens,"852 to live, that you should have some 3,000 of"
"be London, where we are told there are some 20,000",aliens,now living. I would emphasise the view that naturalised aliens
"20,000 aliens now living. I would emphasise the view that",naturalised,aliens are probably the most dangerous of the enemies we
aliens now living. I would emphasise the view that naturalised,aliens,are probably the most dangerous of the enemies we have
that under certain conditions they should be subject to the,Alien,Restriction Orders which already apply to unnaturalised aliens. I admit
subject to the Alien Restriction Orders which already apply to,unnaturalised,aliens. I admit to the full the difficulty of dealing
to the Alien Restriction Orders which already apply to unnaturalised,aliens.,I admit to the full the difficulty of dealing with
"have people of undoubted sympathy with our enemies, probably of",enemy,"blood and family ties, and possibly having relatives fighting against"
assumed that he intends his Motion to apply only to,enemy,aliens. He does not say so in the actual terms
that he intends his Motion to apply only to enemy,aliens.,He does not say so in the actual terms he
am very sorry. I did mean to add the word,"""enemy""","before aliens, and to move it in that form. Mr."
"sorry. I did mean to add the word ""enemy"" before","aliens,",and to move it in that form. Mr. McKENNA Then
the whole administration of the law in 853 relation to,aliens,"under one department, because we have pauper aliens and criminal"
"relation to aliens under one department, because we have pauper",aliens,and criminal aliens as well. Mr. JOYNSON-HICKS I meant alien
"under one department, because we have pauper aliens and criminal",aliens,as well. Mr. JOYNSON-HICKS I meant alien enemies. Mr. McKENNA
aliens and criminal aliens as well. Mr. JOYNSON-HICKS I meant,alien,enemies. Mr. McKENNA The hon. Gentleman desires that the whole
responsibility for the administration of the law in relation to,enemy,aliens and suspected persons should be vested in one department
for the administration of the law in relation to enemy,aliens,and suspected persons should be vested in one department and
"that decide when, for how long, and to what extent",enemy,aliens shall be interned. That statement was made nearly four
"decide when, for how long, and to what extent enemy",aliens,shall be interned. That statement was made nearly four months
suffered in a military sense through the presence of these,enemy,aliens. I think they are the right authority to determine
in a military sense through the presence of these enemy,aliens.,"I think they are the right authority to determine that,"
Kitchener has had the sole responsibility for the internment of,aliens.,Nobody else has ever had any responsibility for determining whether
Nobody else has ever had any responsibility for determining whether,aliens,"should be interned or not interned, or the numbers which"
RONALD M'NEILL Is the same-authority responsible for the landing of,aliens?,Mr. McKENNA No. I am responsible for that. Mr. JOYNSON-HICKS
Debate agreed that he intended to limit the subject to,enemy,aliens. I am asked whether I am responsible for the
agreed that he intended to limit the subject to enemy,aliens.,I am asked whether I am responsible for the landing
am asked whether I am responsible for the landing of,aliens.,I say I am. Mr. JOYNSON-HICKS Enemy aliens? Mr. McKENNA
the landing of aliens. I say I am. Mr. JOYNSON-HICKS,Enemy,aliens? Mr. McKENNA The hon. Member wished to have two
landing of aliens. I say I am. Mr. JOYNSON-HICKS Enemy,aliens?,Mr. McKENNA The hon. Member wished to have two Departments
"the landing of every steamer, one to deal with such",aliens,as are enemy aliens and the other to deal with
"every steamer, one to deal with such aliens as are",enemy,aliens and the other to deal with all other aliens.
"steamer, one to deal with such aliens as are enemy",aliens,and the other to deal with all other aliens. The
enemy aliens and the other to deal with all other,aliens.,The landing of an alien in this country is one
to deal with all other aliens. The landing of an,alien,"in this country is one operation, and it must be"
the hon. Member suggests should be done. With regard to,aliens,"in prohibited areas, here again the ultimate responsibility rests with"
a prohibited area&#x2014;could not be removed unless he was an,enemy,"alien. If that was the view he had, and if"
prohibited area&#x2014;could not be removed unless he was an enemy,alien.,"If that was the view he had, and if he"
thought therefore that in the case of persons who are,naturalised,there ought to be power to cancel their certificates in
My impression certainly was that a man who was a,naturalised,British subject could not be interned on suspicion. Mr. McKENNA
in prison for breaking the law. Mr. MASON Can a,naturalised,alien be interned and arrested for inquiry? Mr. McKENNA He
