left,keyword,right
prison for breaking the law. Mr. MASON Can a naturalised,alien,be interned and arrested for inquiry? Mr. McKENNA He could
anywhere else unless a charge was brought against him. A,naturalised,"enemy alien, or a British subject, or anybody, whether naturalised"
else unless a charge was brought against him. A naturalised,enemy,"alien, or a British subject, or anybody, whether naturalised or"
unless a charge was brought against him. A naturalised enemy,"alien,","or a British subject, or anybody, whether naturalised or not,"
"naturalised enemy alien, or a British subject, or anybody, whether",naturalised,"or not, if living anywhere, not necessarily in a prohibited"
suspected person. Mr. MASON Can they deal with a suspected,alien?,"Mr. McKENNA Any person may be told, if the military"
suspicion? Would it be on the ground that they were,aliens?,"If they were interned, the general ground upon which it"
be on the general ground that the woman was of,German,nationality. The hon. Gentleman told the House of the case
hon. Gentleman told the House of the case of a,German,to whom I have recently given a certificate of naturalisation.
"no evidence whatever, except such suspicion as may attach to",German,birth? Mr. MASON My suggestion in regard to women was
he suggests should be adopted Mr. JOYNSON-HICKS Why not intern,aliens,of military age? Mr. McKENNA The hon. Gentleman has referred
military age? Mr. McKENNA The hon. Gentleman has referred to,aliens,of military age. He would grant them certificates of naturalisation.
say that the hon. Gentleman invited me to naturalise three,Germans.,"If that is his actual personal policy, if he were"
policy that ought to be adopted&#x2014;the policy of interning all,Germans,of military age. Mr. JOYNSON-HICKS I certainly would. Mr. McKENNA
Mr. JOYNSON-HICKS I certainly would. Mr. McKENNA There are many,Germans,of military age he would intern without regard to the
regard to the circumstances. He would find that there are,Germans,who have lived in this country from the age of
"from the age of a few weeks, who have no",German,"relatives, who know no language but English, who have known"
English in feeling. He would find that many of the,Germans,he would intern are in that position. I know one
"case after case of persons, men and women, of technical",German,nationality who are as bitter enemies of Germany and as
of technical German nationality who are as bitter enemies of,Germany,and as strong admirers of this country as the hon.
"said, considerable doubt as to the authority which dealt with",aliens.,"I think that his speech this afternoon made, in one"
Office stating that something was being done in regard to,"aliens,",but there was a sentence in it that the overwhelming
a sentence in it that the overwhelming number of these,Germans,"were decent, inoffensive people from whom no danger was to"
"all know, that there are many cases&#x2014;I know some myself&#x2014;of",Germans,who were born in Germany but who have lived so
many cases&#x2014;I know some myself&#x2014;of Germans who were born in,Germany,but who have lived so long here that their sympathies
right to ask is that every man or woman of,German,"birth should be regarded with suspicion, beginning with the idea"
Secretary or the War Office. Notice was given that all,aliens,should be moved inland on the Monday. On the Friday
plays as a definite part of the military system of,Germany.,I believe that the Germans used it in the Franco-German
of the military system of Germany. I believe that the,Germans,used it in the Franco-German war almost as much as
Germany. I believe that the Germans used it in the,Franco-German,war almost as much as now; but in any war
and in the part of France that was invaded by,"Germany,",what do we find? We find&#x2014;and this is really no
the army of spies was the advanced guard of the,German,"Army, and that it prepared the way for the advancing"
"happened in Belgium and France, and since we know that",Germany,does not love us any better than she loved Belgium
"I believe, an elaborate system of espionage in which every",German,with real patriotic feeling is more likely to assist than
to mark out particular areas and make certain that no,alien,enemies is to be found within those areas. They did
those areas. What have they done? They are prohibited to,aliens.,"But there are 600 male aliens in that area, and,"
They are prohibited to aliens. But there are 600 male,aliens,"in that area, and, according to the statement of the"
"right hon. Gentleman to-day, there are 2,000 or 3,000 female",aliens.,What in the world is the use of making a
you should make them effective and not have a single,alien,within them. I have said I had noticed in the
trial in the papers&#x2014;for answering what were supposed to be,German,"signals. As I understood the trial, our Admiralty, in order"
a ship along the coast. They put up two supposed,German,"signals, and they were instantly answered. What does that mean?"
decide upon internment. If the War Office say that every,alien,"in a certain area ought to be interned, that is"
a military operation. But if you are dealing with individual,aliens,"about whom you have a suspicion, the right authority to"
freedom in this country than I would of allowing a,German,Army to land on our shores. I would never dream
"hardship to many innocent people, in the case of great",German,"financial houses, who have the power of doing us infinitely"
business basis on which our whole policy in regard to,aliens,"is founded. What did the right hon. Gentleman say? ""I"
have no responsibility; it is the War 869 Office. If,Germans,"are to be interned, they ask me, and I do"
him instructions that they know the exact character of every,German,to be interned? Nothing of the kind. They get their
shoulder because somebody suspected him. I say that the poorest,German,in this country ought to have an opportunity of going
"going before a tribunal and having his case stated, and",Germans,should not be sent wholesale to camps without any opportunity
been done. I know one or two cases in which,aliens,have been told in London to go to the police
we are convinced that he may give information to the,"enemy,","and we must send 870 word to the Home Office,"
kind. In my own Constituency men were getting money from,Germany,"and they were under suspicion, and it was said, of"
"course, that they got their money from house property in",Germany.,The police were convinced there was very good ground for
is not usual for the Kaiser to give Orders to,Germans,living permanently in a foreign country. Even if they had
"very opening of the War, who will pretend that the",alien,question was properly dealt with? Why were Germans of military
that the alien question was properly dealt with? Why were,Germans,of military age at the beginning of the War allowed
the beginning of the War allowed to go back to,"Germany,",and stopped later? If the policy of stopping them was
"of spies still in this country, corresponding regularly with the",German,Secret Service on the borders of a neutral country. A
"taken, the Government could get at every paid spy of",Germany,in this country. How can it be done? It can
has not been cycled over by an officer of the,German,"Army, who knows every inch of the ground, and if"
arranged. It is known that one of the most distinguished,German,generals at the very present moment on the Western front
that this spy question is part and parcel of the,German,"organisation, and that they know what is going on just"
"the question, in which this matter is being handled in",Germany,itself. In Germany no Englishman or Britisher of military age
which this matter is being handled in Germany itself. In,Germany,no Englishman or Britisher of military age is allowed freedom
"three days. Therefore, they are dealing with the British in",Germany,in a much harsher way than we are dealing with
a much harsher way than we are dealing with the,Germans,"here. On the question of the employment of Aliens here,"
the Germans here. On the question of the employment of,Aliens,"here, just consider what they do in Austria. Any person"
try that on some of the people who are employing,Germans,over here. I am not at all sure that it
"many claims on his time, has never yet heard an",Aliens',"Debate. After all, he is the deciding factor between the"
Secretary gave the House to understand that the regulations affecting,aliens,and suspects are being worked in the most admirable 874
reverse is true. Let me deal with the question of,alien,"enemies. The Home Secretary, on the 12th November last, told"
"12th November last, told us that in the matter of",alien,"enemies the whole responsibility, both for their internment and their"
either in the internment or in the release of any,aliens.,"It is purely a military matter.""&#x2014;[ OFFICIAL REPORT. 12th November."
great deal of abuse in this matter of dealing with,alien,"enemies. I confess I did not understand, and I do"
"alone, had been the person responsible for the release of",alien,"enemies, as he has told us to-day. Mr. McKENNA What"
up to that date was responsible for the release of,alien,"enemies. We are learning, we are getting on, and we"
are told now that the internment and release of these,alien,"enemies is purely a military matter, we are assured by"
"a system of that sort in operation, you get 22,000",alien,"enemies loose in London, and 16,000 of military age. There"
in which there is divided responsibility It arises under the,Aliens,Restriction Act of last year. Under that Act enemy aliens
the Aliens Restriction Act of last year. Under that Act,enemy,aliens are prohibited from residing in prohibited areas unless they
Aliens Restriction Act of last year. Under that Act enemy,aliens,are prohibited from residing in prohibited areas unless they get
chief constables with the local military authorities in dealing with,enemy,aliens in prohibited areas. The regulations are issued by the
constables with the local military authorities in dealing with enemy,aliens,in prohibited areas. The regulations are issued by the Home.
"military authorities, in any case in which they allow an",enemy,"alien to remain in a prohibited area, and to inform"
"authorities, in any case in which they allow an enemy",alien,"to remain in a prohibited area, and to inform the"
"Secretary, who has this matter within his authority under the",Aliens,"Restriction Act , so far as his jurisdiction extends, has"
"substance, is that where they suspect any persons, be they",aliens,"or be they British subjects, of action prejudicial to the"
Commanding the Northern District made an order directing that all,"aliens,","whether naturalised or otherwise, should be removed from the East"
"Northern District made an order directing that all aliens, whether",naturalised,"or otherwise, should be removed from the East Coast. That"
"what happened? On the 1st of January last, before any",aliens,"had been removed under this order, the Home Office, on"
"letter was that they had complaints from some persons, presumably",aliens,"about to be removed, who imagined that it was a"
important that he makes an order for the removal of,aliens,from the East Coast. If the Home Secretary thought there
General Officer Commanding telling him not to lock up any,"aliens,",but to suspend the order? The Under-Secretary of State for
confusion about it. I asked two days later how many,aliens,had been actually removed under this order before the 1st
"force. Mr. BUTCHER Oh, what a good thing! Because these",aliens,"were going of their own free will, are we to"
"commanding the Northern Command&#x2014;was cancelled and suspended, and only twenty-eight",aliens,"have been removed from the coast since 1st January, while"
which is a prohibited area. This lady was a born,German,"subject, the sister of General von Bothmer, who holds a"
"General von Bothmer, who holds a high command in the",German,"Army. She has as an intimate friend Admiral von Tirpitz,"
with her when the War broke out. She was never,"naturalised,","but she married an English gentleman living at Beverley, and"
cases&#x2014;and I suppose everyone in this House has known cases&#x2014;where,aliens,have been interned and influence from outside has been brought
who probably knew nothing about the circumstances in which the,aliens,"were interned, or in which orders were made for removal."
"understand, and quite fully appreciate, the danger of espionage amongst",alien,"enemies, I say deliberately that this alien business has just"
"of espionage amongst alien enemies, I say deliberately that this",alien,business has just been a little overdone. There was the
"fiddling all day, but you may be communicating with the",enemy,"by night."" The police sent him to Braemar where, of"
Lord. I do not suppose that now there are any,alien,enemies in that district. Lord C. BERESFORD Thank God! Mr.
unnecessarily severe policy of the Government. I suppose that every,"German,","Austrian, or Bohemian, and this old man the Bohemian who"
old man the Bohemian who has nothing to do with,"Germany,",will be interned when they are found. The hon. Member
was not in the least likely to be a dangerous,enemy.,The hon. Member for Brentford wished to lock up everyone
Brentford wished to lock up everyone of these men. Now,Germany,"does not do that. [An HON. MEMBER: ""Yes!""] They put"
who are forbidden to go beyond a certain area; but,Germany,does not lock them up and intern them. If the
forget the extraordinarily close relationship that existed between Belgium and,Germany,before the War. There were a very large number of
before the War. There were a very large number of,Germans,"settled in Belgium, compared with the population, and there was"
"country. And, of course, we knew of cases where the",Germans,"have laid concrete foundations, and all that sort of thing."
pause before starting on a policy of locking up every,German,"and creating an awful amount of misery. The military authority,"
did in his constituency had the desired effect of removing,aliens,from the coast. The hon. Gentleman also said that I
the coast. I again reaffirm what I said before. The,German,spy system in this country is well-known to the Home
to think of our own people before we think of,alien,enemies. I do not for one moment deny that the
"people from a most trying danger, than to have these",alien,enemies at large and leave our people to that trying
who are going to do us any harm. They talk,German,"and know German, but have not the chance of doing"
to do us any harm. They talk German and know,"German,",but have not the chance of doing any harm. It
more dangerous to the life of this country than the,German,submarines with which we are confronted. I do not think
in connection with the internment 888 and release of these,alien,enemies. I agree with the hon. Member opposite that many
police supervision? Mr. McKENNA Yes. Lord C. BERESFORD Then our,alien,enemies are officially protected. We saw some symptoms of sanity
little more in regard to the locking up of the,alien,"enemies, and the right hon. Gentleman must see that the"
no sense of proportion. Every British subject is interned in,Germany,"irrespective of age or whether he is ill, and he"
"and he is ill-used, insulted, and ill-fed. Here we have",aliens,"almost caressed by the Government. [An HON. MEMBER: ""No.""] Yes"
"all over the place after they are interned, whereas in",Germany,they are kept under the conditions which I have described.
after our own people without concerning ourselves so greatly about,"aliens,",so long as we are fair to them. We do
not think we should concern ourselves so greatly about our,alien,enemies. The Government have admitted that all the British prisoners
The Government have admitted that all the British prisoners in,Germany,are treated much worse than the prisoners of other nations.
forget that there is not one single man-of-war prisoner in,"Germany,",although they could have been picked up after the sinking
"Hope,"" whereas, on the other hand, we have lots of",German,sailors who have been saved by our ships. I mention
sentimentality which we have been showing in regard to these,aliens.,"I do not want them ill-treated, but I want them"
clearly. In this matter we are fighting the most formidable,enemy,this country has ever fought. We are fighting for our
"our existence, and our liberty, against the most dastardly, cruel","enemy,","who approves of the methods of assassins and pirates, and"
must see that certain Acts of Parliament deal with this,alien,question and it is impossible to co-ordinate them. We could
to co-ordinate them. We could not bring the Registration of,Aliens,"Act under the War Office, and it is equally impossible"
is a ground of suspicion with other things. Every single,alien,enemy in this country is known and is at this
a ground of suspicion with other things. Every single alien,enemy,in this country is known and is at this present
Does the right hon. Gentleman tell the House that every,alien,enemy in the United Kingdom at this time is under
the right hon. Gentleman tell the House that every alien,enemy,in the United Kingdom at this time is under police
"first place, the House ought to know that every single",alien,enemy is known and registered under the Registration of Aliens
"place, the House ought to know that every single alien",enemy,is known and registered under the Registration of Aliens Act
alien enemy is known and registered under the Registration of,Aliens,Act . Sir H. DALZIEL Not at all. Some come
come in as Americans. Mr. TENNANT But they are not,aliens.,Mr. SPEAKER I think we had better hear what the
"what my right hon. Friend behind me says, that every",alien,enemy resident in this country&#x2014;I cannot say it of one
"my right hon. Friend behind me says, that every alien",enemy,resident in this country&#x2014;I cannot say it of one who
aware of him it will be so&#x2014;is registered under the,Aliens,"Restriction Act , whether in a prohibited area or not."
"fact which I hope the House will appreciate. Again, every",alien,of whatever nationality is obliged to register in the prohibited
obliged to register in the prohibited areas. That is not,alien,"enemies alone, but every alien of what&#x2014;ever nationality in a"
"prohibited areas. That is not alien enemies alone, but every",alien,of what&#x2014;ever nationality in a prohibited area. The prohibited areas
"have power to remove any suspected person, whether British or",alien,who is named in the order from any place and
painted of there being this laxity everywhere with regard to,alien,"enemies, I should really share his apprehensions and feel all"
afternoon that the Government has not taken this question of,aliens,"sufficiently seriously, and he asks us whether we really hold"
administration with regard to this particular question of dealing with,"aliens,","we maintain that the Government, whatever their intentions may be,"
"is bound to admit, in regard to the question of",alien,"enemies, that, as the law stands at present, it is"
the very difficult and technical work of dealing with the,alien,"enemy question. The Under-Secretary for War, in dealing with the"
very difficult and technical work of dealing with the alien,enemy,"question. The Under-Secretary for War, in dealing with the specific"
I have taken a very great interest in this 898,alien,enemy question from the beginning. I have made it my
have taken a very great interest in this 898 alien,enemy,question from the beginning. I have made it my business
"often, that we are dealing not alone with spies. Your",alien,enemies are divided into two quite distinct classes. There are
the main body. You have spies on one side and,alien,"enemies on the other, and to ask the General Officer"
for six months. We have had repeated Debates on the,alien,question. Why was not this statement made six months ago?
as the spies are concerned. I come next to the,alien,"enemy question. It has been quite impossible to understand, from"
the spies are concerned. I come next to the alien,enemy,"question. It has been quite impossible to understand, from the"
War Office decided whether it was desirable that groups of,alien,"enemies should be arrested and gave him instructions, that he"
country because they are a means of circulating information to,enemy,aliens who are allowed to live here in far larger
because they are a means of circulating information to enemy,aliens,who are allowed to live here in far larger numbers
Gentleman the Member for Kirkcaldy as to the number of,enemy,aliens in the Metropolis is inaccurate. Mr. TENNANT I said
the Member for Kirkcaldy as to the number of enemy,aliens,in the Metropolis is inaccurate. Mr. TENNANT I said they
confidence at all. But when he tells us that these,enemy,"aliens are not only known to the police, but are"
at all. But when he tells us that these enemy,aliens,"are not only known to the police, but are under"
the admission of the existence of this large number of,alien,enemies and the statement that they are regarded as harmless
"time, however short, the victim of a raid by our",German,enemies. Then the real danger and trouble of the existence
the statement of the right hon. Gentleman opposite that these,enemy,"aliens are all under police supervision, but I do not"
statement of the right hon. Gentleman opposite that these enemy,aliens,"are all under police supervision, but I do not think"
opposite intended to represent that this supervision would extend to,naturalised,"aliens. If that is so, it certainly would not extend"
intended to represent that this supervision would extend to naturalised,aliens.,"If that is so, it certainly would not extend to"
had had full information with regard to this gentleman of,German,"origin for two years past. If that is so, if"
and all the aspects of it in relation to the,alien,"question, and if, with all that knowledge, the Government still"
the House during the last few weeks&#x2014;Baron von Bissing&#x2014;is a,German,by birth who has been naturalised in this country for
weeks&#x2014;Baron von Bissing&#x2014;is a German by birth who has been,naturalised,in this country for between seven and eight years. The
a considerable period the London correspondent of a newspaper in,Germany,"which is, I believe, at once the most Anglophobe of"
"in some way, the official or semi-official organ of the",German,military party. Herr von Bissing has been living in this
in this country for seven or eight years as a,naturalised,subject. The hon. Member for Mid-Armagh has told the right
"at his disposal, which certainly should throw suspicion upon this",German,gentleman. In the light of the admission made from the
the Government Bench this afternoon that the mere existence of,enemy,nationality was a ground of suspicion&#x2014;a proposition in which I
was closely related to a very high military potentate in,"Germany,","who has been taking a prominent part, and by no"
occupation is that I am in the service of the,German,Foreign Office. There you have a definite statement to which
after his naturalisation was in the paid employment of the,German,Foreign Office. Could you possibly have a stronger reason for
constant and evidently some sort of official communication with the,German,"authorities in Berlin. Yet, in the face of all that"
not think the case is one in which this distinguished,German,gentleman should be interned. He tells us he has had
so exasperated or resentful at the favour shown to conspicuous,German,people living among them&#x2014;that they should be so hopeless of
the War Office was also responsible for the landing of,aliens,"in this country, surely a very important part of the"
"is my Department."" He was responsible for the landing of",aliens.,Surely the landing of enemy aliens is just as important&#x2014;perhaps
responsible for the landing of aliens. Surely the landing of,enemy,"aliens is just as important&#x2014;perhaps more important, and certainly as"
for the landing of aliens. Surely the landing of enemy,aliens,"is just as important&#x2014;perhaps more important, and certainly as difficult&#x2014;as"
hon. Friend (Mr. Joynson-Hicks) with regard to the landing of,aliens,in Liverpool. How does that case stand? My hon. Friend
an answer of the Home Secretary to him that no,Germans,"had arrived in this country by the ""Lusitania,"" and that"
and that they spent their time on the voyage among,Germans.,Is it going to be suggested that they could be
could be for five days on the same ship with,Germans,and not know them to be Germans? They had conversation
same ship with Germans and not know them to be,Germans?,"They had conversation with them, saw their writing, heard their"
with them. They declare that there were a number of,Germans,on that very vessel. But it is even more inconceivable
"in some of the boats, though not in all. Any",German,who spoke even decent English and could give an account
"if it comes to a question of evidence, for a",German,to pass himself off as an Englishman to the officer
the least prepared 907 myself with information with regard to,alien,"enemies or other persons landing from the steamship ""Lusitania."" The"
simple grasp and unified treatment of the whole question of,aliens,"in this country, whether in regard to their landing in"
"tell us that, to get efficient administration of this whole",alien,"question, he requires a certain Bill to be passed, and"
"all, can these people do? Do you think that these",Germans,scattered about the country can do any useful service to
about the country can do any useful service to the,German,"Government? They do not know anything."" It is not for"
have been told that there are so many thousands of,alien,enemies abroad in London. Whether they are under police supervision
"little, is it not easily imaginable that the thousands of",Germans,throughout London might in a short time create a conflagration?
Buckingham Palace? It would be quite easy to provide the,enemy,with facilities for attacking these places. If we had taken
"it is valuable information. He told us that the 16,000",alien,enemies who are of military age in London are under
"he, for instance, tell us how many of the 16,000",alien,enemies of military age have arms? Mr. TENNANT None. Mr.
regard to the sale of arms a considerable number of,alien,"enemies were purchasing them. I suppose, if they purchased them,"
out of employment because of the fact that he is,"German,",you have a man who might be harmful. I know
he was thrown out of employment because he is a,German.,At the present moment that man is walking the streets
Gangway opposite. The proper authority to keep an eye on,alien,enemies is the police. Does that Department in the War
the other day that he had a certain number of,alien,"enemies in his charge&#x2014;I think it was about 2,000&#x2014;and word"
their duty to exercise this vigilance with the knowledge that,Germany,"makes war in a peculiar manner, and does it not"
"out&#x2014;and I doubt whether it could be with 15,000 male",aliens,"in the London area alone&#x2014;there are not great difficulties, especially"
but that is not the case with regard to these,aliens.,We have heard enough in this Debate to make us
was a gentleman whose grandfather came into this country from,Germany,"when he was three months old, and afterwards held for"
"in going home one night saw one who, obviously a",German,"in British khaki uniform, was comporting himself in such a"
for the assistance of this civilian who knew something of,German,"and Continental people, and who at least thought that he"
the outstanding liabilities of each bank to creditors other than,enemy,alien creditors; and whether there is any reason for carrying
outstanding liabilities of each bank to creditors other than enemy,alien,creditors; and whether there is any reason for carrying on
of the War the carrying on of banking business by,enemy,subjects in this country was prohibited under the Aliens Restriction
by enemy subjects in this country was prohibited under the,Aliens,"Restriction Order, and enemy banks were in consequence closed as"
"this country was prohibited under the Aliens Restriction Order, and",enemy,banks were in consequence closed as far as banking business
"Additional steps were, however, taken with respect to the three",German,"banks&#x2014;the Deutsche Bank, the Dresdner Bank, and the Disconto-Gesellschaft&#x2014;and two"
connection of the bank with those customers; and as regards,enemy,"customers, to vest their property in the custodian. The first"
securities: ( a ) securities the absolute property of an,enemy,free of the bank's lien. These go to the custodian;
owing to their residing in or carrying on business in,enemy,"countries. Arrangements have been made for allowing these securities, on"
no advance against them while the customer remains technically an,enemy.,The process of the realisation of assets and discharge of
the manner and means by which the assets of the,German,banks in London are disposed of? Mr. McKENNA Any transactions
London are disposed of? Mr. McKENNA Any transactions of the,German,banks in London under their licence are subject to the
Exchequer what properties are held in London by the three,German,banks now under control; whether any of such properties are
whether any of such properties are held on behalf of,German,shipping companies; and what steps have been taken to dispose
the Public Trustee in compliance with the Trading With the,Enemy,"(Amendment) Act, 1914 , and it is open to any"
only British interests that are regarded in the winding&#x2014;up of,alien,"enemy banks, there is any sufficient reason why nominees of"
British interests that are regarded in the winding&#x2014;up of alien,enemy,"banks, there is any sufficient reason why nominees of German"
"enemy banks, there is any sufficient reason why nominees of",German,banks should be employed as brokers for selling securities belonging
British origin shall be employed in selling securities belonging to,German,"banks on the Stock Exchange, and that firms in which"
"in which the partners, or some of them, are of",enemy,"origin shall not be so employed; and whether, if he"
such authority? Mr. McKENNA The brokers employed by the three,German,banks are all members of the London Stock Exchange who
birth and twenty-two of partners partly British born and partly,naturalised.,"Of the latter group of twenty-two firms, the partnership element"
"consists of forty-two persons of British birth, forty-two persons of",enemy,"origin who are naturalised, and four of allied 1535 and"
"of British birth, forty-two persons of enemy origin who are","naturalised,",and four of allied 1535 and neutral birth. I will
if the licences to trade which have been issued to,enemy-owned,"banks can be withdrawn; if so, whether the Board of"
will be followed by winding-up under the Trading With the,Enemy,Act ? Mr. McKENNA The licence issued to the Deutsche
already been withdrawn. In the case of the other two,German,banks the licence will be withdrawn as soon as the
to wind up the banks under the Trading With the,Enemy,"Act , as the present procedure makes a formal winding-up"
Sir William Plender for acting as controller of the various,German,banks in London? Mr. McKENNA The professional fees of the
Will the correspondence which will have to take place with,Germany,be carried on by British subjects here rather than by
be carried on by British subjects here rather than by,German,subjects? Mr. McKENNA The correspondence will be by the authorities
for by the head offices of the respective banks in,Germany.,The London establishments are not responsible for inaccurate and misleading
the head offices or agencies of the banks in the,enemy,or neutral Press. No paid advertisements have been continued or
paid to Sir William Plender and other controllers of the,German,firms and banks is subjected to the War Profits Tax?
McKENNA The persons appointed to be supervisors and controllers of,enemy,"banks and firms are normally accountants, and their remuneration is"
G. FABER asked the Chancellor of the Exchequer how many,naturalised,"Germans and Austrians, and how many enemy aliens, are still"
FABER asked the Chancellor of the Exchequer how many naturalised,Germans,"and Austrians, and how many enemy aliens, are still employed"
"Exchequer how many naturalised Germans and Austrians, and how many",enemy,"aliens, are still employed in the London branches of the"
"how many naturalised Germans and Austrians, and how many enemy","aliens,",are still employed in the London branches of the Deutsche
"the Dresdner Bank, and the Disconto-Gesellschaft? Mr. BONAR LAW Eighteen",naturalised,"British subjects, three German, and one Austrian subject. Mr. FABER"
"the Disconto-Gesellschaft? Mr. BONAR LAW Eighteen naturalised British subjects, three","German,",and one Austrian subject. Mr. FABER As I understand no
"is done in the bank, why should there be any",Germans,at all? Mr. BONAR LAW I have spoken today to
"banks are kept going, not for the sake of the",German,"shareholders, but for the sake of British and Allied creditors."
